,Intensity P010693,Intensity P010694,Intensity P010695,Intensity P010738,Intensity P010739,Intensity P010740,Intensity P013127,Intensity P018020,Intensity P018021
ENSP00000368412.2;ENSP00000005259.4;ENSP00000418993.1;ENSP00000409350.1;ENSP00000419681.1;ENSP00000414164.2;ENSP00000418816.1;ENSP00000390733.1;ENSP00000395828.1,0.6849886187475297,-0.878823163131944,0.970006074890726,0.11176204436115804,0.655748871059554,1.25852698628412,2.737435492543655,1.201026573800028,2.16349310939589
ENSP00000005260.8,-2.98034563505115,-2.12112325597818,-1.28460637089185,-2.38595974124267,0.525335910762735,-1.62206612432438,-2.22326879216127,-1.6027280313669063,-0.977955395960332
ENSP00000405823.2;ENSP00000005286.4;ENSP00000437848.1,2.77616911989229,-2.943095327977894,-1.537988193455839,-2.5003801030325894,-2.24201848018067,-2.04003020873741,-3.5729486940862785,-3.27795061340584,-4.1633150693547
ENSP00000005340.4;ENSP00000459797.1;ENSP00000459991.1;ENSP00000458209.1;ENSP00000458465.1,-0.3846703670306206,0.10700738959791467,-0.7646997745991273,-2.44497042193944,0.350495245347119,0.37466881843433,-4.195068571369216,-1.14265001564977,0.347396263352817
ENSP00000005386.3;ENSP00000370024.4;ENSP00000401823.3,-1.84905980817602,1.30850570386218,-0.5905899820012372,0.2537969216630539,0.8515770674322102,-0.320899801870993,-1.59966555964732,0.490655861156203,1.68871042555898
ENSP00000005587.2;ENSP00000408163.1,1.6361988876735,-2.208502985638206,-0.677854624750637,-0.945315925424048,-2.798718825336299,-1.12528963483024,-4.65730001432985,-2.4564686072062107,-2.8534509100639007
ENSP00000006526.6;ENSP00000406606.1;ENSP00000387236.1,-1.81230632241136,-3.58737234823174,-6.48648886769783,-2.4075426517766934,-4.36171670942051,-3.30780197694573,-3.6491017171686444,2.15859062946114,-0.446322581352518
ENSP00000489591.1;ENSP00000348878.4;ENSP00000006658.6;ENSP00000483295.1;ENSP00000489476.1;ENSP00000425271.1;ENSP00000424538.1,-2.1980484820049457,-2.1016691884189,-2.7802694528492635,0.07456362119344054,0.902242821579712,-2.24633140271383,-1.22468042029493,0.537108508126708,-1.565568155893514
ENSP00000006777.6;ENSP00000391232.1;ENSP00000314144.4,-1.5374878420253222,-0.4875771659360243,-6.48379492080973,-0.4604718723450147,-3.988014385461736,-3.8001517441099,-2.9241078683393376,2.06633758189352,-1.14619699001819
ENSP00000376295.3;ENSP00000007414.3;ENSP00000479827.1;ENSP00000463599.1,-4.20470224326811,-3.92075186517716,-2.1265885508946516,-1.3825806823494304,-3.860185572705442,-2.292089496209737,-1.293921710651451,-5.91090680221249,-2.8145902303439163
