"","Intensity P010693","Intensity P010694","Intensity P010695","Intensity P010738","Intensity P010739","Intensity P010740","Intensity P013127","Intensity P018020","Intensity P018021"
"ENSP00000006777.6;ENSP00000391232.1;ENSP00000314144.4",NA,NA,NA,NA,NA,-3.8001517441099,NA,2.06633758189352,-1.14619699001819
"ENSP00000376295.3;ENSP00000007414.3;ENSP00000479827.1;ENSP00000463599.1",NA,-3.92075186517716,NA,NA,NA,NA,NA,NA,NA
"ENSP00000458770.1;ENSP00000007516.2;ENSP00000461693.1;ENSP00000454891.1",3.19049115538415,2.96179246103491,2.1037138728355,4.82898017389012,3.80557843413199,2.41760044119414,4.78686047591303,-0.554951466618931,-3.82526086117531
"ENSP00000371955.2;ENSP00000371959.4;ENSP00000371958.1;ENSP00000009180.4;ENSP00000482643.1;ENSP00000478288.1;ENSP00000440985.1",5.49052100037173,0.725002358078655,1.63410705570988,NA,1.71147625307054,2.76333961195455,0.701796771425638,3.86690708026389,2.05023823639002
"ENSP00000427788.1;ENSP00000009589.3;ENSP00000478703.1;ENSP00000429374.1;ENSP00000428146.1;ENSP00000428104.1;ENSP00000429049.1;ENSP00000427860.1;ENSP00000429333.1",5.996037007951,6.0858537695191,5.39082920763814,6.12737840098398,6.59319248260738,5.98107118124632,5.82898045178665,6.66093945491608,6.81366123154118
"ENSP00000379513.3;ENSP00000379512.1;ENSP00000379510.1;ENSP00000010404.2;ENSP00000442557.1;ENSP00000442970.1;ENSP00000438308.1;ENSP00000440443.1;ENSP00000437988.1;ENSP00000442767.1",1.13422849992279,NA,NA,3.44609783616583,-0.677910886698776,1.27460317833599,6.78857951023246,NA,NA
"ENSP00000011619.3",-2.22700170045833,-0.152318970701913,-1.35043710370859,-1.0115682978038,NA,-1.1234955724951,NA,0.273706279665003,-0.29406208376782
"ENSP00000011653.4;ENSP00000445167.1",NA,0.534714593056215,NA,NA,NA,-0.771738539123827,NA,NA,-3.56420445464597
"ENSP00000444799.1;ENSP00000011898.5;ENSP00000384488.1",-3.30840935929829,-3.06075510985905,-1.14892370051308,NA,-3.24271111788224,-0.724453219734556,-1.15944034326112,-1.87549451648208,NA
"ENSP00000012049.4;ENSP00000387944.2;ENSP00000467813.1",NA,-3.24857978310992,NA,NA,NA,NA,-3.351485601441,-0.726528876709107,-1.94901907015153
"ENSP00000434329.1;ENSP00000012443.4;ENSP00000375786.1;ENSP00000471730.1;ENSP00000481586.1;ENSP00000392262.1",2.44721539412181,1.7894240563095,0.868884804212612,3.50116405970319,2.69547560821582,2.38315289950569,2.24738215889635,3.69461558778477,3.59070886645972
"ENSP00000483908.1;ENSP00000013070.6;ENSP00000479570.1;ENSP00000391706.2;ENSP00000486093.1;ENSP00000452488.1;ENSP00000485983.1;ENSP00000451785.1;ENSP00000485686.1;ENSP00000451051.1;ENSP00000486968.1;ENSP00000451369.1;ENSP00000486462.1;ENSP00000451022.1;ENSP00000486939.1;ENSP00000450645.1",NA,-1.69394359370392,-3.11052541015519,-3.46203298736424,NA,-2.16602651044404,-3.26964910919085,NA,NA
"ENSP00000013125.4;ENSP00000451980.1;ENSP00000451452.1;ENSP00000451926.1;ENSP00000452289.1",-2.32258156563593,-0.643574049089391,-1.50917856960701,NA,-1.47981959724619,-0.491105904387961,-2.22654229540689,-1.32110137160408,-1.04969779396387
"ENSP00000014112.5;ENSP00000408096.1;ENSP00000349428.4;ENSP00000489604.1;ENSP00000342332.5;ENSP00000486218.1;ENSP00000465652.2;ENSP00000465451.1;ENSP00000468565.3;ENSP00000478414.1;ENSP00000466250.2;ENSP00000465825.1",4.40570394847425,5.18593912401076,6.08689780478157,5.4535896963394,4.09178839768374,4.65873590195816,5.2823737510847,5.32662367283805,4.82079346661138
"ENSP00000014930.4;ENSP00000441678.1;ENSP00000442020.1",1.75026289161358,2.05215610543237,1.75091551187136,6.61705554705874,3.25922162302728,4.62177765824459,5.06943548367203,1.5208133922994,2.70742628218594
"ENSP00000372924.3;ENSP00000019317.4;ENSP00000463693.1;ENSP00000411556.3",-2.75193766387956,-0.7825607348075,-2.33665109301746,NA,-1.31713473641402,-2.01757323454194,-0.866268595389666,0.818167871317069,-2.56351291002509
"ENSP00000022615.4;ENSP00000429006.1;ENSP00000428519.1;ENSP00000430908.1",-1.39271720791211,-3.68292247581332,-1.87831573710148,NA,-3.47779595282184,-2.87409199203741,-2.16252907601821,-1.70733003722422,NA
"ENSP00000349906.6;ENSP00000023939.5;ENSP00000400322.1;ENSP00000379220.3",NA,-0.262833766790166,-3.2020102992466,-2.98848648627487,NA,-2.54695457343338,NA,1.49821338529636,1.47359287644635
"ENSP00000396067.2;ENSP00000025008.5;ENSP00000430809.1",NA,-2.67302429006849,NA,NA,NA,NA,NA,-1.97896382881689,-0.507163610389309
"ENSP00000025301.2",NA,-1.39687064477031,-0.893625367515863,NA,NA,NA,NA,-1.51197654281827,-2.93939437410663
"ENSP00000392270.2;ENSP00000025399.6;ENSP00000445814.1",4.04245003122169,3.64963011491828,3.69021029175076,5.15476543592967,4.48256379993838,3.69151027943744,3.57919555750227,3.30479707479511,2.4470285753307
"ENSP00000439650.1;ENSP00000413753.2;ENSP00000410434.1;ENSP00000386760.2;ENSP00000326674.5;ENSP00000026218.5;ENSP00000293874.2",NA,NA,-3.79934498091471,NA,NA,NA,-3.66086261508041,-3.76571045804348,NA
"ENSP00000465085.1;ENSP00000034275.7;ENSP00000404837.1;ENSP00000341483.5;ENSP00000464774.1;ENSP00000468815.1;ENSP00000464705.1;ENSP00000466879.1;ENSP00000466761.1;ENSP00000466970.1;ENSP00000467560.1;ENSP00000466510.1",0.479172323395318,1.44600769330432,0.353476672506009,1.66119601986872,1.18472609354837,1.75685585136416,0.524362489717184,1.39969667492654,2.54132024508027
"ENSP00000037243.2;ENSP00000456773.1;ENSP00000455606.1;ENSP00000457448.1",-0.715966353968749,0.393240768013719,-2.15040874085338,-0.00733718516936932,NA,-3.6486216020005,-3.49952337911255,-2.04995431998297,-0.539227692983797
"ENSP00000037869.3;ENSP00000397269.1;ENSP00000390840.1;ENSP00000391468.1",-0.988646001969265,-1.18644771998981,-0.599656098395972,0.0521523954890206,0.298121370827953,-1.47341695020867,0.188646711218812,1.42156715501004,3.66045799241433
"ENSP00000039007.4",-0.438628663383657,1.19714490745845,-0.687930428373722,6.80130040338716,0.602465631151841,0.0168738185643953,8.74841591111732,-2.08318588847209,-3.548540089325
"ENSP00000039989.4;ENSP00000299240.5;ENSP00000473320.1;ENSP00000407314.2",0.0394126586403019,NA,-1.30220130081592,NA,NA,NA,NA,0.631777995093842,-2.02266866826373
"ENSP00000040663.5",-3.21679958489333,0.448659608369855,-0.693269313414156,2.62715615481135,1.29710905768374,1.06884551282606,2.7930325168905,1.28061556804347,-0.442405205902919
"ENSP00000040738.5;ENSP00000420541.1;ENSP00000285908.5",-2.94363999302992,1.91622414506321,-1.50641991140392,-0.415788313335959,-2.67522027282825,0.128168695352663,-3.79117727720763,-0.017235625747194,1.75004119897219
"ENSP00000040877.1",NA,-0.150369068821256,NA,NA,NA,NA,NA,1.25669791107527,4.67433629467669
"ENSP00000042381.4;ENSP00000368614.3;ENSP00000389456.2;ENSP00000400099.2;ENSP00000443568.3;ENSP00000454376.1;ENSP00000456893.1;ENSP00000456924.1;ENSP00000455795.2;ENSP00000457419.1",-0.486844203969792,-1.67379764577764,-1.97568261006815,-3.2567130243181,-1.87641241717578,0.138765417544171,NA,NA,NA
"ENSP00000453887.1;ENSP00000044462.7;ENSP00000453802.1;ENSP00000453829.1;ENSP00000453080.1;ENSP00000453523.1;ENSP00000453621.1;ENSP00000402118.2;ENSP00000452936.1;ENSP00000453145.1;ENSP00000453323.1;ENSP00000452917.1;ENSP00000453758.1",4.27140087836909,4.43150874353174,5.379991160961,6.69591808593549,3.99604961453795,4.30838932649695,4.82489105285652,1.35937366832385,1.38752843193394
"ENSP00000487460.1;ENSP00000046794.5;ENSP00000428871.1;ENSP00000430391.1",NA,1.95436890479014,-0.576282246275788,0.413817226026254,-3.13978008465709,-0.0838606045701447,-1.36540673155424,NA,NA
"ENSP00000447654.1;ENSP00000376862.1;ENSP00000052754.5;ENSP00000449014.1;ENSP00000413723.2;ENSP00000447674.2;ENSP00000401021.1;ENSP00000449438.1;ENSP00000399815.2;ENSP00000446530.1;ENSP00000449408.1;ENSP00000448853.1;ENSP00000398514.2;ENSP00000448857.1;ENSP00000448057.1;ENSP00000448274.1",9.76721521331859,6.47316285902584,8.85902428434326,2.57983980893787,8.37389597320972,7.20178759285938,4.8310376630588,4.86649964687721,6.36777184693596
"ENSP00000053468.3",-2.06169883065718,-0.738792134828536,NA,1.54378426121541,-0.688322751077667,-1.86316058207064,-1.40123949549276,NA,NA
