Raw file	Experiment	Fraction	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
01076_F04_P010694_S00_N30_R1	P010694	30	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8560	48741	0	62951	34531	0	28420	6272	6039	0	233	9.96	17.49	NaN	0.82	2975	898860	38998	4.34	4523	11.6	73325	25449	24223	34.71	39.74	6765	26.58	+	0.60927	0.87442	0.46377	0.68746	
01076_E04_P010694_S00_N29_R1	P010694	29	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		9249	46030	0	60078	31982	0	28096	5305	5169	0	136	8.83	16.16	NaN	0.48	2546	942440	36991	3.93	4019	10.86	69887	23920	22858	34.23	39.83	6332	26.47	+	0.55074	0.80257	0.41589	0.62629	
01076_D04_P010694_S00_N28_R1	P010694	28	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8124	50702	0	64596	36808	0	27788	6215	5993	0	222	9.62	16.28	NaN	0.8	3157	894927	41450	4.63	4264	10.29	81798	28292	27172	34.59	39.54	6723	23.76	+	0.58354	0.83248	0.44023	0.65055	
01076_C04_P010694_S00_N27_R1	P010694	27	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8579	48818	0	61607	36029	0	25578	4815	4688	0	127	7.82	13.01	NaN	0.5	2410	872369	39914	4.58	4168	10.44	76392	27550	26603	36.06	40.6	6731	24.43	+	0.60596	0.85634	0.45963	0.66432	
01076_A04_P010694_S00_N25_R1	P010694	25	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8038	51242	0	63516	38968	0	24548	13230	12380	0	850	20.83	31.77	NaN	3.46	5928	937362	40501	4.32	5531	13.66	93363	27814	26940	29.79	33.72	7846	28.21	+	0.6967	0.99136	0.49919	0.73399	
01076_H03_P010694_S00_N24_R1	P010694	24	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		7316	54140	0	65778	42502	0	23276	15953	14938	0	1015	24.25	35.15	NaN	4.36	7213	939752	42605	4.53	6167	14.47	102389	30019	29176	29.32	32.73	8506	28.34	+	0.73286	1.0368	0.53277	0.79181	
01076_G03_P010694_S00_N23_R1	P010694	23	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		7208	54646	0	66065	43227	0	22838	16202	15045	0	1157	24.52	34.8	NaN	5.07	7846	922723	43308	4.69	6165	14.24	103449	30981	30082	29.95	33.53	8450	27.27	+	0.71708	1.0094	0.51255	0.7532	
01076_F03_P010694_S00_N22_R1	P010694	22	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		7344	54234	0	65585	42883	0	22702	17400	16205	0	1195	26.53	37.79	NaN	5.26	8296	911922	42699	4.68	6043	14.15	102461	30527	29702	29.79	33.66	8270	27.09	+	0.74372	1.05	0.52997	0.78114	
01076_E03_P010694_S00_N21_R1	P010694	21	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		7227	54766	0	65855	43677	0	22178	18353	17114	0	1239	27.87	39.18	NaN	5.59	8548	906397	42831	4.73	6298	14.7	103351	30782	29892	29.78	33.59	8476	27.54	+	0.74517	1.0454	0.52745	0.7745	
01076_D03_P010694_S00_N20_R1	P010694	20	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		7236	54716	0	65375	44057	0	21318	19269	17911	0	1358	29.47	40.65	NaN	6.37	8985	912881	42866	4.7	6455	15.06	103708	30912	29954	29.81	33.57	8693	28.12	+	0.76038	1.0711	0.53648	0.78812	
01076_C03_P010694_S00_N19_R1	P010694	19	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		7262	54831	0	65976	43686	0	22290	19050	17549	0	1501	28.87	40.17	NaN	6.73	8807	916069	42723	4.66	6490	15.19	104879	30736	29835	29.31	33.14	8468	27.55	+	0.75985	1.0646	0.53252	0.77807	
