Raw file	Experiment	Fraction	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
01076_B03_P010694_S00_N18_R1	P010694	18	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		7763	52926	0	63907	41945	0	21962	19454	17924	0	1530	30.44	42.73	NaN	6.97	8406	938126	40235	4.29	6561	16.31	100611	28577	27623	28.4	32.62	8315	29.1	+	0.74565	1.056	0.51275	0.75265	
01076_H02_P010694_S00_N16_R1	P010694	16	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		7319	54570	0	66169	42971	0	23198	18873	17489	0	1384	28.52	40.7	NaN	5.97	9192	873409	41815	4.79	6629	15.85	98254	29987	29001	30.52	34.15	8593	28.66	+	0.75071	1.0634	0.51473	0.752	
01076_G02_P010694_S00_N15_R1	P010694	15	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		7709	52968	0	64984	40952	0	24032	16961	15715	0	1246	26.1	38.37	NaN	5.18	7971	881853	39849	4.52	6520	16.36	94064	28135	27104	29.91	33.96	8187	29.1	+	0.75765	1.0809	0.51293	0.75637	
01076_F02_P010694_S00_N14_R1	P010694	14	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		7556	53475	0	64872	42078	0	22794	16747	15674	0	1073	25.82	37.25	NaN	4.71	8642	929054	41437	4.46	6307	15.22	101804	30123	28968	29.59	33.57	8234	27.33	+	0.72621	1.0286	0.48819	0.71551	
01076_E02_P010694_S00_N13_R1	P010694	13	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		6661	57287	0	67481	47093	0	20388	18609	17627	0	982	27.58	37.43	NaN	4.82	10056	835671	44865	5.37	6852	15.27	102430	33501	32443	32.71	36.34	9252	27.62	+	0.76018	1.0776	0.52286	0.77206	
01076_D02_P010694_S00_N12_R1	P010694	12	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		7151	55249	0	65886	44612	0	21274	16345	15563	0	782	24.81	34.89	NaN	3.68	8683	840668	42125	5.01	6968	16.54	95507	30703	29718	32.15	36.52	9170	29.87	+	0.71217	1.0147	0.47843	0.70448	
01076_C02_P010694_S00_N11_R1	P010694	11	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		7311	54430	0	65547	43313	0	22234	14775	14064	0	711	22.54	32.47	NaN	3.2	7655	812198	41206	5.07	6804	16.51	88907	29506	28522	33.19	38.12	8932	30.27	+	0.70382	1.0134	0.47577	0.71046	
01076_B02_P010694_S00_N10_R1	P010694	10	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8040	51543	0	62702	40384	0	22318	11821	11175	0	646	18.85	27.67	NaN	2.89	6235	853184	38992	4.57	6420	16.46	88378	27720	26489	31.37	36.87	8258	29.79	+	0.6779	0.97016	0.44849	0.66238	
01076_A02_P010694_S00_N09_R1	P010694	9	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8128	51287	0	61859	40715	0	21144	11128	10590	0	538	17.99	26.01	NaN	2.54	6145	895354	39369	4.4	6545	16.62	92388	28462	27367	30.81	36.66	8399	29.51	+	0.66087	0.94804	0.42168	0.62624	
01076_H01_P010694_S00_N08_R1	P010694	8	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8197	50174	0	62645	37703	0	24942	8536	8205	0	331	13.63	21.76	NaN	1.33	4615	869640	37781	4.34	5907	15.63	82310	26010	25367	31.6	37.92	7857	30.21	+	0.62522	0.91733	0.40997	0.62258	
01076_G01_P010694_S00_N07_R1	P010694	7	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		10404	41012	0	52719	29303	0	23416	6180	5838	0	342	11.72	19.92	NaN	1.46	3480	1077680	31102	2.89	4674	15.03	89073	21079	20347	23.66	29.8	5890	27.94	+	0.59524	0.856	0.35443	0.51948	
01076_F01_P010694_S00_N06_R1	P010694	6	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		11121	38146	0	48502	27790	0	20712	6931	6592	0	339	14.29	23.72	NaN	1.64	3987	1111597	29061	2.61	4354	14.98	88859	20233	19439	22.77	29.47	5395	26.66	+	0.63163	0.90527	0.37665	0.54405	
01076_E01_P010694_S00_N05_R1	P010694	5	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		11198	37639	0	47904	27374	0	20530	6024	5775	0	249	12.58	21.1	NaN	1.21	3138	1121124	28670	2.56	4381	15.28	88596	19948	19143	22.52	29.22	5507	27.61	+	0.59136	0.84372	0.34592	0.5004	
01076_D01_P010694_S00_N04_R1	P010694	4	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		10134	42297	0	53105	31489	0	21616	7414	7077	0	337	13.96	22.47	NaN	1.56	4089	1032888	32318	3.13	5020	15.53	89691	22784	21911	25.4	31.87	6336	27.81	+	0.59433	0.8437	0.35208	0.50797	
01076_C01_P010694_S00_N03_R1	P010694	3	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8336	50002	0	62632	37372	0	25260	9737	9400	0	337	15.55	25.15	NaN	1.33	5222	803605	38095	4.74	6022	15.81	82164	26615	25567	32.39	37.19	7602	28.56	+	0.66467	0.95183	0.41063	0.59849	
01076_B01_P010694_S00_N02_R1	P010694	2	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		13081	28581	0	42072	15090	0	26982	1895	1808	0	87	4.5	11.98	NaN	0.32	869	1201204	20745	1.73	2357	11.36	63981	10853	9487	16.96	26.66	3063	28.22	+	0.43028	0.61554	0.3435	0.49015	
01076_A01_P010694_S00_N01_R1	P010694	1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		14340	22618	0	33722	11514	0	22208	964	929	0	35	2.86	8.07	NaN	0.16	597	1209720	16114	1.33	1874	11.63	66141	8292	7425	12.54	21.69	2342	28.24	+	0.4628	0.68882	0.27918	0.39896	
01075_C05_P010693_S00_N35_R2	P010693	35	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		18542	6827	0	12559	1095	0	11464	18	13	0	5	0.14	1.19	NaN	0.04	13	1498425	4827	0.32	351	7.27	53034	940	489	1.77	2.73	102	10.85	+	1.646	1.7736	1.1921	1.3946	
01077_H02_P010695_S00_N16_R4	P010695	16	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8417	49706	0	59729	39683	0	20046	16995	16132	0	863	28.45	40.65	NaN	4.31	8876	891960	39467	4.42	5291	13.41	92503	28813	28234	31.15	36.58	7473	25.94	+	0.73049	1.034	0.5007	0.73512	
01077_D05_P010695_S00_N36_R1	P010695	36	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		14054	24474	0	35711	13235	0	22476	797	784	0	13	2.23	5.92	NaN	0.06	381	1215627	17601	1.45	1828	10.39	69344	9643	8928	13.91	24.37	2550	26.44	+	0.44436	0.65682	0.30614	0.47109	
01077_C05_P010695_S00_N35_R1	P010695	35	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		12231	32562	0	45761	19363	0	26398	2063	1997	0	66	4.51	10.31	NaN	0.25	902	1077780	24008	2.23	2570	10.7	69366	14143	13387	20.39	30.82	3675	25.98	+	0.54744	0.79489	0.41335	0.61882	
01077_B05_P010695_S00_N34_R1	P010695	34	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		11845	34447	0	47699	21195	0	26504	2942	2829	0	113	6.17	13.35	NaN	0.43	1340	1038212	25949	2.5	2715	10.46	67277	15519	14826	23.07	33.42	4105	26.45	+	0.56149	0.7903	0.4288	0.62542	
01077_A05_P010695_S00_N33_R1	P010695	33	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		10627	39544	0	52894	26194	0	26700	4639	4438	0	201	8.77	16.94	NaN	0.75	2088	1002814	31149	3.11	3146	10.1	72409	19475	18648	26.9	34.64	4909	25.21	+	0.6213	0.87339	0.48007	0.70734	
01077_H04_P010695_S00_N32_R1	P010695	32	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		10548	40301	0	53779	26823	0	26956	4772	4492	0	280	8.87	16.75	NaN	1.04	1393	1041048	30703	2.95	4021	13.1	76427	18460	17713	24.15	30.8	4998	27.07	+	0.67615	0.97673	0.52428	0.79932	
01077_G04_P010695_S00_N31_R1	P010695	31	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		10371	40999	0	54478	27520	0	26958	4873	4674	0	199	8.94	16.98	NaN	0.74	2194	1003535	31930	3.18	3430	10.74	74960	20037	19300	26.73	33.44	5237	26.14	+	0.63794	0.90232	0.47364	0.69817	
01077_F04_P010695_S00_N30_R1	P010695	30	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		10674	39605	0	52062	27148	0	24914	4740	4523	0	217	9.1	16.66	NaN	0.87	2024	1030825	30745	2.98	3514	11.43	77697	19690	18931	25.34	33.02	5205	26.43	+	0.64966	0.91438	0.4786	0.70662	
01077_E04_P010695_S00_N29_R1	P010695	29	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		10542	40219	0	52581	27853	0	24728	5273	5071	0	202	10.03	18.21	NaN	0.82	2306	1006559	31388	3.12	3606	11.49	76778	20093	19450	26.17	33.9	5364	26.7	+	0.65068	0.9128	0.48439	0.70234	
01077_D04_P010695_S00_N28_R1	P010695	28	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		9736	43897	0	56724	31070	0	25654	6886	6525	0	361	12.14	21	NaN	1.41	3155	969259	34425	3.55	3912	11.36	82492	22784	21914	27.62	33.52	5594	24.55	+	0.68134	0.95534	0.50004	0.73017	
01077_C04_P010695_S00_N27_R1	P010695	27	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		9528	44796	0	58372	31220	0	27152	7511	7051	0	460	12.87	22.58	NaN	1.69	3548	957173	35167	3.67	3949	11.23	82910	23411	22316	28.24	33.86	5622	24.01	+	0.66651	0.95056	0.47828	0.70514	
01077_B04_P010695_S00_N26_R1	P010695	26	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		9384	45389	0	58448	32330	0	26118	9589	8992	0	597	16.41	27.81	NaN	2.29	4195	949214	35987	3.79	3786	10.52	86677	24469	23752	28.23	34.19	5625	22.99	+	0.68801	0.96961	0.49932	0.73082	
01077_A04_P010695_S00_N25_R1	P010695	25	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8822	47762	0	60166	35358	0	24808	11798	11065	0	733	19.61	31.29	NaN	2.95	5259	915326	37774	4.13	4233	11.21	88218	26384	25617	29.91	35.84	6248	23.68	+	0.7079	1.0019	0.5119	0.75559	
01077_H03_P010695_S00_N24_R1	P010695	24	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8672	48517	0	61367	35667	0	25700	12017	11345	0	672	19.58	31.81	NaN	2.61	5055	934473	38291	4.1	4421	11.55	90846	26482	25809	29.15	34.3	6593	24.9	+	0.68668	0.96905	0.49751	0.72989	
01077_G03_P010695_S00_N23_R1	P010695	23	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8969	47001	0	59650	34352	0	25298	11963	11225	0	738	20.06	32.68	NaN	2.92	5639	1025012	37518	3.66	4101	10.93	98841	26264	25300	26.57	33.72	6008	22.88	+	0.66644	0.94177	0.48377	0.70497	
01077_F03_P010695_S00_N22_R1	P010695	22	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8289	50156	0	61556	38756	0	22800	13965	13216	0	749	22.69	34.1	NaN	3.29	6830	951566	40536	4.26	4504	11.11	98316	29346	28537	29.85	35.68	6768	23.06	+	0.7048	1.0025	0.50587	0.74761	
01077_E03_P010695_S00_N21_R1	P010695	21	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8267	50250	0	61913	38587	0	23326	14897	13978	0	919	24.06	36.22	NaN	3.94	7007	916780	40153	4.38	4715	11.74	94578	28634	27882	30.28	36.42	6872	24	+	0.7264	1.0295	0.52183	0.77077	
01077_D03_P010695_S00_N20_R1	P010695	20	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8479	49460	0	61695	37225	0	24470	14707	13691	0	1016	23.84	36.78	NaN	4.15	6713	918053	39017	4.25	4684	12.01	93400	27350	26516	29.28	35.62	6740	24.64	+	0.72825	1.0277	0.51701	0.76186	
01077_C03_P010695_S00_N19_R1	P010695	19	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8666	48767	0	62101	35433	0	26668	14392	13342	0	1050	23.18	37.65	NaN	3.94	6514	927644	38218	4.12	4525	11.84	94360	26173	25231	27.74	34.29	6376	24.36	+	0.74068	1.0377	0.52462	0.7624	
01077_B03_P010695_S00_N18_R1	P010695	18	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8696	48598	0	62161	35035	0	27126	13930	13071	0	859	22.41	37.31	NaN	3.17	6581	989167	37525	3.79	4585	12.22	103648	25734	24645	24.83	32.19	6211	24.14	+	0.74137	1.0517	0.52108	0.77305	
01077_A03_P010695_S00_N17_R1	P010695	17	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8991	47982	0	59069	36895	0	22174	17814	16414	0	1400	30.16	44.49	NaN	6.31	7422	979198	36856	3.76	5856	15.89	95643	25355	24723	26.51	31.11	7536	29.72	+	0.7671	1.0865	0.5291	0.77727	
01077_G02_P010695_S00_N15_R1	P010695	15	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		7820	52869	0	66055	39683	0	26372	18664	17218	0	1446	28.26	43.39	NaN	5.48	7414	837694	37715	4.5	7106	18.84	84467	24514	23875	29.02	33.08	8521	34.76	+	0.77918	1.0928	0.52397	0.75849	
01077_F02_P010695_S00_N14_R1	P010695	14	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		13070	28227	0	41668	14786	0	26882	4703	4140	0	563	11.29	28	NaN	2.09	920	1194731	17935	1.5	2581	14.39	73130	8963	7726	12.26	19.09	2343	26.14	+	0.74458	1.0617	0.5237	0.79178	
01077_E02_P010695_S00_N13_R1	P010695	13	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		7538	53988	0	65636	42340	0	23296	19523	18016	0	1507	29.74	42.55	NaN	6.47	8710	824506	40099	4.86	7190	17.93	90048	27644	26874	30.7	35.03	9088	32.88	+	0.72828	1.0342	0.4901	0.71715	
01077_D02_P010695_S00_N12_R1	P010695	12	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8201	51360	0	63049	39671	0	23378	16267	15185	0	1082	25.8	38.28	NaN	4.63	7533	824078	37509	4.55	6936	18.49	84000	25570	24848	30.44	35.82	8645	33.81	+	0.69238	0.98677	0.45386	0.66659	
01077_C02_P010695_S00_N11_R1	P010695	11	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8138	51281	0	63781	38781	0	25000	13684	12904	0	780	21.45	33.27	NaN	3.12	6451	788847	37519	4.76	6679	17.8	79085	25085	24406	31.72	37.39	8427	33.59	+	0.70976	1.0132	0.4634	0.68208	
01077_B02_P010695_S00_N10_R1	P010695	10	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8564	49350	0	61033	37667	0	23366	10959	10263	0	696	17.96	27.25	NaN	2.98	5047	862717	36355	4.21	6623	18.22	80806	24539	23685	30.37	37.06	8374	34.13	+	0.65377	0.93965	0.42406	0.62555	
01077_A02_P010695_S00_N09_R1	P010695	9	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		9039	47601	0	59048	36154	0	22894	11187	10534	0	653	18.95	29.14	NaN	2.85	5097	845807	34574	4.09	6551	18.95	77164	23579	22814	30.56	37.61	8103	34.37	+	0.65682	0.93914	0.41262	0.60369	
01077_H01_P010695_S00_N08_R1	P010695	8	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		9608	44403	0	56216	32590	0	23626	7381	6999	0	382	13.13	21.48	NaN	1.62	3756	940853	32374	3.44	5765	17.81	77673	21265	20610	27.38	35.41	7304	34.35	+	0.62559	0.89779	0.39087	0.57521	
01077_G01_P010695_S00_N07_R1	P010695	7	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		11639	35564	0	46736	24392	0	22344	4882	4465	0	417	10.45	18.31	NaN	1.87	2281	1061916	25674	2.42	4356	16.97	78928	16445	15724	20.84	28.62	5212	31.69	+	0.59241	0.8433	0.34638	0.50267	
01077_F01_P010695_S00_N06_R1	P010695	6	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		11994	33798	0	45259	22337	0	22922	4490	4175	0	315	9.92	18.69	NaN	1.37	2026	1097340	24177	2.2	4158	17.2	76569	15112	14394	19.74	27.83	4769	31.56	+	0.55762	0.79906	0.31789	0.46172	
01077_E01_P010695_S00_N05_R1	P010695	5	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		11233	37500	0	48754	26246	0	22508	5676	5323	0	353	11.64	20.28	NaN	1.57	2679	1066643	27567	2.58	4805	17.43	81155	17897	17121	22.05	29.84	5731	32.02	+	0.61494	0.86964	0.35457	0.50903	
01077_D01_P010695_S00_N04_R1	P010695	4	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		10078	43064	0	54641	31487	0	23154	7830	7383	0	447	14.33	23.45	NaN	1.93	3605	923942	31305	3.39	5603	17.9	79852	21194	20458	26.54	33.32	6654	31.4	+	0.62501	0.88189	0.37116	0.52992	
01077_C01_P010695_S00_N03_R1	P010695	3	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		9148	47049	0	59453	34645	0	24808	9566	9008	0	558	16.09	26	NaN	2.25	4539	748817	34633	4.63	5976	17.26	72823	23252	22431	31.93	37.36	7450	32.04	+	0.65401	0.94018	0.40462	0.59521	
01077_B01_P010695_S00_N02_R1	P010695	2	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		15526	18583	0	27812	9354	0	18458	1523	1451	0	72	5.48	15.51	NaN	0.39	614	1364052	13311	0.98	1879	14.12	61908	6093	5282	9.84	17.72	2172	35.65	+	0.42103	0.6381	0.32881	0.496	
01077_A01_P010695_S00_N01_R1	P010695	1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		16508	14156	0	22207	6105	0	16102	629	605	0	24	2.83	9.91	NaN	0.15	434	1397195	10394	0.74	1085	10.44	59229	4678	3908	7.9	14.68	1042	22.27	+	0.44366	0.65883	0.2602	0.39358	
01075_D05_P010693_S00_N36_R1	P010693	36	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		16360	14385	0	23768	5000	0	18768	670	589	0	81	2.82	11.78	NaN	0.43	178	1359285	9534	0.7	1083	11.36	60557	3448	2763	5.69	9.75	862	25	+	0.34067	0.53667	0.22516	0.35606	
01075_B05_P010693_S00_N34_R1	P010693	34	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		12991	28889	0	44196	13582	0	30614	1550	1420	0	130	3.51	10.46	NaN	0.42	630	1085176	19862	1.83	2692	13.55	53808	8762	7963	16.28	24.74	3257	37.17	+	0.4273	0.60798	0.31308	0.46822	
01075_A05_P010693_S00_N33_R1	P010693	33	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		10981	38561	0	55657	21465	0	34192	4119	3763	0	356	7.4	17.53	NaN	1.04	1267	998377	27359	2.74	3932	14.37	57718	13678	12966	23.7	30.45	5073	37.09	+	0.56816	0.81614	0.42553	0.6318	
01075_H04_P010693_S00_N32_R1	P010693	32	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		11416	36549	0	53706	19392	0	34314	3130	2888	0	242	5.83	14.89	NaN	0.71	976	1044319	26006	2.49	3639	13.99	59134	12378	11496	20.93	28.05	4421	35.72	+	0.5542	0.81658	0.42721	0.66136	
01075_G04_P010693_S00_N31_R1	P010693	31	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		10488	41009	0	57483	24535	0	32948	5131	4711	0	420	8.93	19.2	NaN	1.27	1474	940311	29048	3.09	4392	15.12	60898	15139	14449	24.86	31.09	5571	36.8	+	0.61916	0.89417	0.46832	0.71059	
01075_F04_P010693_S00_N30_R1	P010693	30	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		10936	38840	0	56254	21426	0	34828	4106	3784	0	322	7.3	17.66	NaN	0.92	1247	982898	27712	2.82	3965	14.31	59669	13492	12719	22.61	29.52	4815	35.69	+	0.61407	0.88776	0.46428	0.71898	
01075_E04_P010693_S00_N29_R1	P010693	29	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		10226	42155	0	58225	26085	0	32140	5357	4961	0	396	9.2	19.02	NaN	1.23	1729	973324	30405	3.12	4857	15.97	64848	16300	15476	25.14	31.05	6157	37.77	+	0.5892	0.85443	0.43426	0.65175	
01075_D04_P010693_S00_N28_R1	P010693	28	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		9921	43663	0	59121	28205	0	30916	6648	6018	0	630	11.24	21.34	NaN	2.04	2084	958014	31413	3.28	5240	16.68	69886	17650	16882	25.26	30.28	6493	36.79	+	0.6212	0.88064	0.45638	0.66944	
01075_C04_P010693_S00_N27_R1	P010693	27	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		9459	45544	0	60553	30535	0	30018	8440	7757	0	683	13.94	25.4	NaN	2.28	2671	913498	33546	3.67	5425	16.17	71470	19529	18834	27.32	32.29	7032	36.01	+	0.63243	0.89368	0.46068	0.68036	
01075_B04_P010693_S00_N26_R1	P010693	26	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		9130	47024	0	61914	32134	0	29780	9265	8469	0	796	14.96	26.36	NaN	2.67	3008	902909	34357	3.81	5675	16.52	73962	20261	19561	27.39	31.78	7336	36.21	+	0.65905	0.94159	0.48521	0.72379	
01075_A04_P010693_S00_N25_R1	P010693	25	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8809	48555	0	62842	34268	0	28574	10124	9315	0	809	16.11	27.18	NaN	2.83	3272	887639	35765	4.03	5873	16.42	76435	21478	20772	28.1	32.42	7770	36.18	+	0.70502	0.99656	0.51146	0.75997	
01075_H03_P010693_S00_N24_R1	P010693	24	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8316	50566	0	63720	37412	0	26308	12470	11551	0	919	19.57	30.88	NaN	3.49	4759	906182	37399	4.13	6525	17.45	83513	23954	23233	28.68	32.34	8490	35.44	+	0.69843	0.99102	0.49554	0.74413	
01075_G03_P010693_S00_N23_R1	P010693	23	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8204	51102	0	64071	38133	0	25938	13470	12448	0	1022	21.02	32.64	NaN	3.94	4778	886880	37481	4.23	6847	18.27	83221	23823	23113	28.63	32.07	8802	36.95	+	0.70209	0.9937	0.50301	0.74273	
01075_F03_P010693_S00_N22_R1	P010693	22	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		7865	52424	0	65901	38947	0	26954	15381	13997	0	1384	23.34	35.94	NaN	5.13	5117	839311	37713	4.49	6914	18.33	81103	23955	23294	29.54	33.77	8680	36.23	+	0.71585	1.0151	0.50942	0.75176	
01075_E03_P010693_S00_N21_R1	P010693	21	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8034	51789	0	64964	38614	0	26350	14903	13663	0	1240	22.94	35.38	NaN	4.71	5233	857366	37905	4.42	6759	17.83	83358	24283	23620	29.13	33.48	8560	35.25	+	0.70962	1.0037	0.5002	0.73295	
01075_D03_P010693_S00_N20_R1	P010693	20	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8187	51290	0	64036	38544	0	25492	14865	13682	0	1183	23.21	35.5	NaN	4.64	5045	877485	36929	4.21	7069	19.14	83351	23626	22962	28.35	32.25	8796	37.23	+	0.70274	0.98561	0.4924	0.71919	
01075_C03_P010693_S00_N19_R1	P010693	19	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8272	51088	0	64377	37799	0	26578	14930	13529	0	1401	23.19	35.79	NaN	5.27	5221	877555	36557	4.17	6905	18.89	84272	23301	22613	27.65	31.59	8410	36.09	+	0.73322	1.0222	0.5072	0.73126	
01075_B03_P010693_S00_N18_R1	P010693	18	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8761	49154	0	62490	35818	0	26672	14298	12932	0	1366	22.88	36.1	NaN	5.12	4945	905768	34897	3.85	6497	18.62	82357	22100	21520	26.83	31.19	7792	35.26	+	0.69918	0.99239	0.48469	0.71917	
